release_year,count
2017,100
2016,292
2015,109
2014,58
2013,57
2012,45
2011,21
2010,20
2009,20
2008,22
2007,18
2006,19
2005,14
2004,8
2003,17
2002,15
2001,11
2000,17
1999,19
1998,26
1997,28
1996,1
1995,6
1994,6
1993,14
1992,2
1991,5
1990,7
1989,2
1987,2
1986,4
1982,6
1978,2
1976,4
1940,3
